book_sid,title,author,reading_level
170,Los pollitos,,A
180,Carros,Brooke Bailey,A
753,Big or Small?,Susan Ring,A
74,Cars,Brooke Bailey,B
100,On My Way to School,Jilian Pei,B
182,Camino a la escuela,Jilan Pei,B
3,Wake up Father Bear,Beverly Randell,C
4,Little Cat is Hungry,Annette Smith,C
30,Baby Wakes Up,Jenny Giles,C
2,Sam and Little Bear,Beverly Randell,D
5,The Seagull,Dot Meharry,D
45,Red and blue and yellow,Annette Smith,D
6,Little Rabbit's Party,Jenny Giles,E
7,Say Cheese!,John Parker,E
35,Omar's Surprise,Patricia Almada,E
8,Baby Bear Climbs a Tree,Beverly Randell,F
9,Stuck in the Ditch,Annette Smith,F
10,Lost at the Shopping Mall,Annette Smith,F
1,Soccer at School,Jenny Giles,G
11,You Look Funny!,Joy Kim,G
38,Building a house,Betsy Franco,G
12,The Fox and Chicken-to-go,Beverly Randell,H
13,Frogs,Tom Williams,H
14,Wibble-Wobble,Margaret Mahy,H
16,The Dinosaur Chase,Hugh Price,I
17,Great Lion and Tiny Mouse,Beverly Randell,I
18,Turtle Talk,Avelyn Davidson,I
20,Ellen and the Goldfish,John Himmelman,J
21,I Win! (from That Tricky Coyote),Gretchen Will Mayo,J
33,A Big Mess,Patricia Almada,J
22,Tom and the Sack,Jenny Giles,K
23,The Skating Twins,Jenny Giles,K
56,Amazing Lasers,Joanne Wachter,K
24,The Wind and the Sun,Jenny Giles,L
54,Trixie's Summer,Heather Hammonds,L
55,The Statue of Liberty,Mary F. Porsche,L
25,Don't Forget to Write,Martina Selway,M
51,Rivers Streams and Lakes,Sonia Juraja,M
63,Halloween at the Zoo,Lonnie Plecha,M
26,The Salamander Room,Anne Mazer,N
49,Billions of Bugs,Becky Ward,N
50,Skating at Rainbow Lake,Annette Smith,N
78,Mary's Lamb,,NULL LEVEL
101,The Sock Is on the Floor,Brooke Bailey,NULL LEVEL
183,We Want a Pet,Winston White,NULL LEVEL
28,The Dentist,,O
29,Look at Me,,O
37,The Man Who Rode the Tiger,Beverley Randall,O
27,Statue of Liberty,Betsy and Giulio Maestro,P
52,Ouch! What Happens When a Bone Breaks or a Muscle Tears.,John Manos,P
53,The Summer Party,MCPS,P
415,The Game of Soccer,Jenny Giles,Q
560,Heroic Feats [The Drawing of Ixt pt. 1],Andrew Chapman,Q
561,Heroic Feats [The Drawing of Ixt pt. 2],Andrew Chapman,Q
589,Lost in Space [The Space Shed pt. 1],Dirk Strasser,R
590,Lost in Space [The Space Shed pt. 2],Dirk Strasser,R
591,Lost in Space [Station Starside One pt. 1],Sally Odgers,R
807,American History Adds Up [Ch. 1-3],Mark Gave,S
808,American History Adds Up [Ch. 4-7],Mark Gave,S
965,El Tiempo a Prueba [Ch. 1-2],Jeri Cipriano,S
962,De las Pir‡mides a los Rascacielos [Ch. 1-3],Judith Dupre,T
963,De las Pir‡mides a los Rascacielos [Ch. 4-5],Judith Dupre,T
964,De las Pir‡mides a los Rascacielos [Ch. 6-8],Judith Dupre,T
416,65 Million Years Ago,Beverley Randell,U
1073,Mysteries of Flight,Lisa Trumbauer,U
1091,Genetics at Work [pp. 4-13],Rachel Kamb,U
1130,Treasure in the Puget Sound [Ch. 1-4],William Harryman,V
1131,Treasure in the Puget Sound [Ch. 5-9],William Harryman,V
1132,Treasure in the Puget Sound [Ch. 10-12],William Harryman,V
1186,The Olympics: Past and Present [pp. 4-12],Katherine Follett,W
1187,The Olympics: Past and Present [pp. 13-22],Katherine Follett,W
2682,Desert People,David Meissner,W
1199,The Story of Immigration [pp.4-11],Robert Charles,X
1200,The Story of Immigration [pp. 14-22],Robert Charles,X
6146,Trouble on the bus,,X
1105,The Story of Lewis and Clark Book 1: Up the Missouri River [pp. 4-10],Peter C. Montin,Y
1106,The Story of Lewis and Clark Book 1: Up the Missouri River [pp. 11-18],Peter C. Montin,Y
1210,The Mystery Twin [Pt. 1],Rachel Kamb,Y
1151,Volcanoes [pp. 4-10],Chuck Garofano,Z
1152,Volcanoes [pp. 11-19],Chuck Garofano,Z
1188,Success Stories [pp. 3-8],Kira Freed,Z